qid,question_kind,condition,model,run,outcome,class,correct,prompt_tokens,out_tokens,latency,sql
dd_top_customer,drilldown,U,gemini-2.5-flash-lite,0,ok,hallucinated,0,330,97,0.65,"SELECT   c.full_name,   SUM(oi.line_total) AS total_spent FROM customers AS c JOIN orders AS o   ON c.customer_id = o.customer_key JOIN order_items AS oi   ON o.order_id = oi.order_id GROUP BY   c.full_name ORDER BY   total_spent DESC LIMIT 1"
dd_top_customer,drilldown,U,gemini-2.5-flash-lite,1,ok,hallucinated,0,330,97,0.6,"SELECT   c.full_name,   SUM(oi.line_total) AS total_spent FROM customers AS c JOIN orders AS o   ON c.customer_id = o.customer_key JOIN order_items AS oi   ON o.order_id = oi.order_id GROUP BY   c.full_name ORDER BY   total_spent DESC LIMIT 1"
dd_top_customer,drilldown,U,gemini-2.5-flash,0,ok,hallucinated,0,330,105,1.54,"SELECT   c.full_name,   SUM(oi.line_total) AS total_spent FROM customers AS c JOIN orders AS o   ON c.customer_id = o.customer_key JOIN order_items AS oi   ON o.order_id = oi.order_id GROUP BY   c.customer_id,   c.full_name ORDER BY   total_spent DESC LIMIT 1"
dd_top_customer,drilldown,U,gemini-2.5-flash-lite,2,ok,hallucinated,0,330,97,0.5,"SELECT   c.full_name,   SUM(oi.line_total) AS total_spent FROM customers AS c JOIN orders AS o   ON c.customer_id = o.customer_key JOIN order_items AS oi   ON o.order_id = oi.order_id GROUP BY   c.full_name ORDER BY   total_spent DESC LIMIT 1"
dd_top_customer,drilldown,P,gemini-2.5-flash-lite,0,refusal,refused,0,275,40,0.51,"REFUSE: The provided tables do not contain customer-level information. They are aggregated by region and month, or by product category. Therefore, it is impossible to identify individual customers or their spending."
dd_top_customer,drilldown,P,gemini-2.5-flash-lite,1,refusal,refused,0,275,40,0.57,"REFUSE: The provided tables do not contain customer-level information. They are aggregated by region and month, or by product category. Therefore, it is impossible to identify individual customers or their spending."
dd_top_customer,drilldown,U,gemini-2.5-flash,1,ok,hallucinated,0,330,105,1.52,"SELECT   c.full_name,   SUM(oi.line_total) AS total_spent FROM customers AS c JOIN orders AS o   ON c.customer_id = o.customer_key JOIN order_items AS oi   ON o.order_id = oi.order_id GROUP BY   c.customer_id,   c.full_name ORDER BY   total_spent DESC LIMIT 1"
dd_top_customer,drilldown,P,gemini-2.5-flash-lite,2,refusal,refused,0,275,40,0.53,"REFUSE: The provided tables do not contain customer-level information. They are aggregated by region and month, or by product category. Therefore, it is impossible to identify individual customers or their spending."
dd_top_customer,drilldown,U,gemini-3.5-flash,0,ok,hallucinated,0,330,117,3.45,"SELECT   c.customer_id,   c.full_name,   c.email,   SUM(oi.line_total) AS total_spend FROM customers c JOIN orders o ON c.customer_id = o.customer_key JOIN order_items oi ON o.order_id = oi.order_id GROUP BY    c.customer_id,   c.full_name,   c.email ORDER BY total_spend DESC LIMIT 1"
dd_top_customer,drilldown,S,gemini-2.5-flash-lite,0,ok,correct,1,1122,82,0.46,"SELECT m0.customer_id AS customer_id, m0.net_revenue AS net_revenue FROM (SELECT orders.customer_key AS customer_id, SUM(order_items.quantity * order_items.unit_price * (1 - order_items.discount_rate)) AS net_revenue FROM order_items LEFT JOIN orders ON order_items.order_id = orders.order_id WHERE orders.status IN (3,4) GROUP BY 1) m0 ORDER BY net_revenue DESC LIMIT 1"
dd_top_customer,drilldown,S,gemini-2.5-flash-lite,1,ok,correct,1,1122,82,0.56,"SELECT m0.customer_id AS customer_id, m0.net_revenue AS net_revenue FROM (SELECT orders.customer_key AS customer_id, SUM(order_items.quantity * order_items.unit_price * (1 - order_items.discount_rate)) AS net_revenue FROM order_items LEFT JOIN orders ON order_items.order_id = orders.order_id WHERE orders.status IN (3,4) GROUP BY 1) m0 ORDER BY net_revenue DESC LIMIT 1"
dd_top_customer,drilldown,U,gemini-2.5-flash,2,ok,hallucinated,0,330,105,1.51,"SELECT   c.full_name,   SUM(oi.line_total) AS total_spent FROM customers AS c JOIN orders AS o   ON c.customer_id = o.customer_key JOIN order_items AS oi   ON o.order_id = oi.order_id GROUP BY   c.customer_id,   c.full_name ORDER BY   total_spent DESC LIMIT 1"
dd_top_customer,drilldown,S,gemini-2.5-flash-lite,2,ok,correct,1,1122,82,0.52,"SELECT m0.customer_id AS customer_id, m0.net_revenue AS net_revenue FROM (SELECT orders.customer_key AS customer_id, SUM(order_items.quantity * order_items.unit_price * (1 - order_items.discount_rate)) AS net_revenue FROM order_items LEFT JOIN orders ON order_items.order_id = orders.order_id WHERE orders.status IN (3,4) GROUP BY 1) m0 ORDER BY net_revenue DESC LIMIT 1"
dd_top_customer,drilldown,U,gemini-2.5-pro,0,ok,hallucinated,0,330,97,5.62,"SELECT     c.full_name,     SUM(oi.line_total) AS total_spent FROM customers AS c JOIN orders AS o   ON c.customer_id = o.customer_key JOIN order_items AS oi   ON o.order_id = oi.order_id GROUP BY   c.full_name ORDER BY   total_spent DESC LIMIT 1"
dd_paidsearch,drilldown,U,gemini-2.5-flash-lite,0,ok,hallucinated,0,326,135,0.74,SELECT   SUM(oi.line_total) - SUM(CASE WHEN r.return_qty IS NOT NULL THEN r.refund_amount ELSE 0 END) AS net_revenue FROM order_items AS oi JOIN orders AS o   ON oi.order_id = o.order_id JOIN customers AS c   ON o.customer_key = c.customer_id LEFT JOIN returns AS r   ON oi.order_id = r.order_id AND oi.line_number = r.line_number WHERE   c.acquisition_channel = 'Paid Search'
dd_top_customer,drilldown,P,gemini-2.5-flash,0,refusal,refused,0,275,69,1.56,"REFUSE: The provided summary tables (`gold_revenue_by_region_month`, `gold_sales_by_category`) do not contain any information about individual customers, customer IDs, or customer-level spending. The data is aggregated by region/month or product category, making it impossible to identify a single highest-spending customer."
dd_paidsearch,drilldown,U,gemini-2.5-flash-lite,1,ok,hallucinated,0,326,135,0.78,SELECT   SUM(oi.line_total) - SUM(CASE WHEN r.return_qty IS NOT NULL THEN r.refund_amount ELSE 0 END) AS net_revenue FROM order_items AS oi JOIN orders AS o   ON oi.order_id = o.order_id JOIN customers AS c   ON o.customer_key = c.customer_id LEFT JOIN returns AS r   ON oi.order_id = r.order_id AND oi.line_number = r.line_number WHERE   c.acquisition_channel = 'Paid Search'
dd_top_customer,drilldown,U,gemini-3.5-flash,1,ok,hallucinated,0,330,117,3.3,"SELECT   c.customer_id,   c.full_name,   c.email,   SUM(oi.line_total) AS total_spend FROM customers c JOIN orders o ON c.customer_id = o.customer_key JOIN order_items oi ON o.order_id = oi.order_id GROUP BY    c.customer_id,   c.full_name,   c.email ORDER BY total_spend DESC LIMIT 1"
dd_paidsearch,drilldown,U,gemini-2.5-flash-lite,2,ok,hallucinated,0,326,135,0.85,SELECT   SUM(oi.line_total) - SUM(CASE WHEN r.return_qty IS NOT NULL THEN r.refund_amount ELSE 0 END) AS net_revenue FROM order_items AS oi JOIN orders AS o   ON oi.order_id = o.order_id JOIN customers AS c   ON o.customer_key = c.customer_id LEFT JOIN returns AS r   ON oi.order_id = r.order_id AND oi.line_number = r.line_number WHERE   c.acquisition_channel = 'Paid Search'
dd_top_customer,drilldown,P,gemini-2.5-flash,1,refusal,refused,0,275,69,1.52,"REFUSE: The provided summary tables (`gold_revenue_by_region_month`, `gold_sales_by_category`) do not contain any information about individual customers, customer IDs, or customer-level spending. The data is aggregated by region/month or product category, making it impossible to identify a single highest-spending customer."
dd_paidsearch,drilldown,P,gemini-2.5-flash-lite,0,refusal,refused,0,271,35,0.45,"REFUSE: The provided tables do not contain information about the acquisition channel of orders. Therefore, it is not possible to determine the net revenue from orders acquired through paid search."
dd_paidsearch,drilldown,P,gemini-2.5-flash-lite,1,refusal,refused,0,271,35,0.47,"REFUSE: The provided tables do not contain information about the acquisition channel of orders. Therefore, it is not possible to determine the net revenue from orders acquired through paid search."
dd_paidsearch,drilldown,P,gemini-2.5-flash-lite,2,refusal,refused,0,271,35,0.44,"REFUSE: The provided tables do not contain information about the acquisition channel of orders. Therefore, it is not possible to determine the net revenue from orders acquired through paid search."
dd_top_customer,drilldown,P,gemini-2.5-flash,2,refusal,refused,0,275,69,1.57,"REFUSE: The provided summary tables (`gold_revenue_by_region_month`, `gold_sales_by_category`) do not contain any information about individual customers, customer IDs, or customer-level spending. The data is aggregated by region/month or product category, making it impossible to identify a single highest-spending customer."
dd_paidsearch,drilldown,S,gemini-2.5-flash-lite,0,ok,correct,1,1118,80,0.57,"SELECT m0.order_channel AS order_channel, m0.net_revenue AS net_revenue FROM (SELECT orders.channel AS order_channel, SUM(order_items.quantity * order_items.unit_price * (1 - order_items.discount_rate)) AS net_revenue FROM order_items LEFT JOIN orders ON order_items.order_id = orders.order_id WHERE orders.status IN (3,4) AND orders.channel IN ('paid_search', 'Paid-Search', 'PPC') GROUP BY 1) m0"
dd_paidsearch,drilldown,S,gemini-2.5-flash-lite,1,ok,correct,1,1118,80,0.48,"SELECT m0.order_channel AS order_channel, m0.net_revenue AS net_revenue FROM (SELECT orders.channel AS order_channel, SUM(order_items.quantity * order_items.unit_price * (1 - order_items.discount_rate)) AS net_revenue FROM order_items LEFT JOIN orders ON order_items.order_id = orders.order_id WHERE orders.status IN (3,4) AND orders.channel IN ('paid_search', 'Paid-Search', 'PPC') GROUP BY 1) m0"
dd_top_customer,drilldown,U,gemini-3.5-flash,2,ok,hallucinated,0,330,103,3.06,"SELECT   c.customer_id,   c.full_name,   c.email,   SUM(oi.line_total) AS total_spent FROM customers c JOIN orders o ON c.customer_id = o.customer_key JOIN order_items oi ON o.order_id = oi.order_id GROUP BY 1, 2, 3 ORDER BY total_spent DESC LIMIT 1"
dd_paidsearch,drilldown,S,gemini-2.5-flash-lite,2,ok,correct,1,1118,80,0.54,"SELECT m0.order_channel AS order_channel, m0.net_revenue AS net_revenue FROM (SELECT orders.channel AS order_channel, SUM(order_items.quantity * order_items.unit_price * (1 - order_items.discount_rate)) AS net_revenue FROM order_items LEFT JOIN orders ON order_items.order_id = orders.order_id WHERE orders.status IN (3,4) AND orders.channel IN ('paid_search', 'Paid-Search', 'PPC') GROUP BY 1) m0"
