qid,n,identical,within_tol,divergent,refused_by_one,both_refused,both_error,error_by_one,missing_in_one,verdict
s1_netrev,29,0,29,0,0,0,0,0,0,within_tol
s1_netrev_p2,29,0,29,0,0,0,0,0,0,within_tol
s1_netrev_p3,29,0,29,0,0,0,0,0,0,within_tol
s1_aov,29,0,29,0,0,0,0,0,0,within_tol
s1_aov_p2,29,0,29,0,0,0,0,0,0,within_tol
s1_aov_p3,29,0,29,0,0,0,0,0,0,within_tol
s1_margin,29,0,29,0,0,0,0,0,0,within_tol
s1_active_cust,29,29,0,0,0,0,0,0,0,identical
s1_active_p2,29,29,0,0,0,0,0,0,0,identical
s1_active_p3,29,29,0,0,0,0,0,0,0,identical
s1_gross_rev,24,0,24,0,0,0,0,0,0,within_tol
s1_orders,24,24,0,0,0,0,0,0,0,identical
s1_top_customer,24,0,24,0,0,0,0,0,0,within_tol
s2_shipping_total,24,5,19,0,0,0,0,0,0,within_tol
s2_shipping_region,24,0,24,0,0,0,0,0,0,within_tol
s2_rev_and_ship,24,0,24,0,0,0,0,0,0,within_tol
s2_lines,24,24,0,0,0,0,0,0,0,identical
s2_ship_pct,21,0,16,0,0,5,0,0,0,both_refused
s2_avg_line_disc,21,0,16,0,0,5,0,0,0,both_refused
s3_refund_total,21,0,21,0,0,0,0,0,0,within_tol
s3_refund_by_cat,21,0,21,0,0,0,0,0,0,within_tol
s3_refund_units,21,21,0,0,0,0,0,0,0,identical
s3_net_of_refunds,21,0,16,0,0,5,0,0,0,both_refused
s3_refund_rev_by_cat,21,0,21,0,0,0,0,0,0,within_tol
s5_ship_pct_region,21,0,21,0,0,0,0,0,0,within_tol
s7_vocab_paidsearch,21,0,21,0,0,0,0,0,0,within_tol
s7_vocab_paidsearch_orders,21,21,0,0,0,0,0,0,0,identical
s7_unans_age,21,0,0,0,0,21,0,0,0,both_refused
s7_unans_supplier,21,0,0,0,0,21,0,0,0,both_refused
s7_unans_weather,21,0,0,0,0,21,0,0,0,both_refused
s7_ambiguous_sales,21,12,0,0,0,9,0,0,0,both_refused
s7_ambiguous_best,21,0,6,0,0,15,0,0,0,both_refused
s8_rev_2024,21,0,21,0,0,0,0,0,0,within_tol
s8_rev_fy2024,21,0,21,0,0,0,0,0,0,within_tol
s8_rev_by_month,21,0,21,0,0,0,0,0,0,within_tol
s8_rev_2023,21,0,21,0,0,0,0,0,0,within_tol
s4_attain_by_region,21,0,21,0,0,0,0,0,0,within_tol
s4_revenue_by_region,21,0,21,0,0,0,0,0,0,within_tol
s4_attain_advneg,21,0,21,0,0,0,0,0,0,within_tol
s4_attain_no_advneg,21,0,21,0,0,0,0,0,0,within_tol
s4_attain_by_advneg,21,0,21,0,0,0,0,0,0,within_tol
s4_assess_emea,21,0,21,0,0,0,0,0,0,within_tol
s4_attain_emea,21,0,21,0,0,0,0,0,0,within_tol
s4_attain_by_distract,21,0,21,0,0,0,0,0,0,within_tol
s5_advneg_lift,21,0,18,0,0,3,0,0,0,both_refused
s4_unans_manager,21,0,0,0,0,21,0,0,0,both_refused
s4_unans_age,21,0,0,0,0,21,0,0,0,both_refused
dd_top_customer,12,0,12,0,0,0,0,0,0,within_tol
dd_paidsearch,12,0,12,0,0,0,0,0,0,within_tol
dd_active_customers,12,12,0,0,0,0,0,0,0,identical
dd_region_by_category,12,0,12,0,0,0,0,0,0,within_tol
dd_ctrl_rev_by_region,12,0,12,0,0,0,0,0,0,within_tol
dd_ctrl_rev_by_category,12,0,12,0,0,0,0,0,0,within_tol
conv_grain_drift_t1,6,0,6,0,0,0,0,0,0,within_tol
conv_grain_drift_t2,6,0,6,0,0,0,0,0,0,within_tol
conv_grain_drift_t3,6,0,6,0,0,0,0,0,0,within_tol
conv_grain_drift_t4,6,0,3,0,0,3,0,0,0,both_refused
conv_grain_drift_t5,6,0,6,0,0,0,0,0,0,within_tol
