qid,condition,model,run,outcome,correct,queries,tokens,latency
s4_attain_advneg,MQ,gemini-2.5-flash-lite,0,error,0,8,20817,8.69
s4_attain_advneg,MQ,gemini-2.5-flash,0,ok,1,5,12061,15.54
s4_attain_advneg,MQ,gemini-2.5-flash-lite,1,error,0,8,20817,8.58
s4_attain_advneg,MQ,gemini-2.5-flash-lite,2,error,0,8,20817,8.75
s4_attain_no_advneg,MQ,gemini-2.5-flash-lite,0,ok,0,7,10097,4.41
s4_attain_advneg,MQ,gemini-2.5-flash,1,ok,1,5,12061,16.7
s4_attain_no_advneg,MQ,gemini-2.5-flash-lite,1,ok,0,7,10097,4.49
s4_attain_no_advneg,MQ,gemini-2.5-flash-lite,2,ok,0,7,10097,4.63
s4_attain_by_region,MQ,gemini-2.5-flash-lite,0,ok,0,4,5031,2.47
s4_attain_by_region,MQ,gemini-2.5-flash-lite,1,ok,0,4,5031,2.48
s4_attain_by_region,MQ,gemini-2.5-flash-lite,2,ok,0,4,5157,3.03
s4_assess_emea,MQ,gemini-2.5-flash-lite,0,ok,0,2,2439,1.43
s4_attain_advneg,MQ,gemini-2.5-flash,2,ok,1,5,12061,17.46
s4_assess_emea,MQ,gemini-2.5-flash-lite,1,ok,0,2,2439,1.97
s4_assess_emea,MQ,gemini-2.5-flash-lite,2,ok,0,2,2439,1.98
s4_attain_advneg,MQ,gemini-2.5-pro,0,error,0,3,10603,56.4
s5_advneg_lift,MQ,gemini-2.5-flash-lite,0,error,0,8,20521,8.7
s5_advneg_lift,MQ,gemini-2.5-flash-lite,1,error,0,8,20521,8.18
s5_advneg_lift,MQ,gemini-2.5-flash-lite,2,error,0,8,20521,7.58
s4_attain_no_advneg,MQ,gemini-2.5-flash,0,error,0,4,14157,38.31
s4_attain_advneg,MQ,gemini-2.5-pro,1,error,0,5,16824,48.4
s4_attain_no_advneg,MQ,gemini-2.5-flash,1,error,0,5,17226,36.37
s4_attain_no_advneg,MQ,gemini-2.5-flash,2,error,0,5,17159,32.48
s4_attain_advneg,MQ,gemini-2.5-pro,2,error,0,3,10483,57.35
s4_attain_by_region,MQ,gemini-2.5-flash,0,ok,0,2,3898,7.28
s4_attain_by_region,MQ,gemini-2.5-flash,1,ok,0,2,3644,7.79
s4_attain_by_region,MQ,gemini-2.5-flash,2,ok,0,2,3644,7.26
s4_attain_no_advneg,MQ,gemini-2.5-pro,0,error,0,5,20080,45.78
